proximityRef;timestamp;rssi;accuracy;proximity
1.5;16:31:10;-66;1.1836712972271;Near
1.5;16:31:11;-66;1.16974194886117;Near
1.5;16:31:12;-66;1.1610788244432;Near
1.5;16:31:13;-66;1.15547921182135;Near
1.5;16:31:14;-65;1.12124022759029;Near
1.5;16:31:15;-67;1.14771378985573;Near
1.5;16:31:16;-68;1.18914925002195;Near
1.5;16:31:17;-68;1.22366364390815;Near
1.5;16:31:18;-68;1.25284545544331;Near
1.5;16:31:19;-67;1.25787689650925;Near
1.5;16:31:20;-68;1.28140516432463;Near
1.5;16:31:21;-68;1.30198099910704;Near
1.5;16:31:22;-68;1.32005218986519;Near
1.5;16:31:23;-68;1.33598911329585;Near
1.5;16:31:24;-68;1.35008900810428;Near
1.5;16:31:25;-68;1.36258939575512;Near
1.5;16:31:26;-68;1.37371056955729;Near
1.5;16:31:27;-71;1.4316345906364;Near
1.5;16:31:28;-71;1.48660717870852;Near
1.5;16:31:29;-69;1.50440433868328;Near
1.5;16:31:30;-69;1.52043451469721;Near
1.5;16:31:31;-71;1.56953080351456;Near
1.5;16:31:32;-71;1.61561843958817;Near
1.5;16:31:33;-71;1.65871826834166;Near
1.5;16:31:34;-72;1.71554113213423;Near
1.5;16:31:35;-72;1.76926426573937;Near
1.5;16:31:36;-72;1.81983494683296;Near
1.5;16:31:37;-72;1.86726268367671;Near
1.5;16:31:38;-69;1.84572803666145;Near
1.5;16:31:39;-68;1.80084703037913;Near
1.5;16:31:40;-68;1.76234292885865;Near
1.5;16:31:41;-68;1.72904544726348;Near
1.5;16:31:42;-69;1.72300415810419;Near
1.5;16:31:43;-68;1.69473365175549;Near
1.5;16:31:44;-67;1.64539294526214;Near
1.5;16:31:45;-65;1.54907013012247;Near
1.5;16:31:46;-65;1.47054639635471;Near
1.5;16:31:47;-66;1.42920152716116;Near
1.5;16:31:48;-68;1.43295583167235;Near
1.5;16:31:49;-69;1.4535669754653;Near
1.5;16:31:50;-67;1.43535040092129;Near
1.5;16:31:51;-68;1.43859043399014;Near
1.5;16:31:52;-68;1.44152695467695;Near
1.5;16:31:53;-72;1.50512230498821;Near
1.5;16:31:55;-68;1.5012046110384;Near
1.5;16:31:56;-68;1.49678034907315;Near
1.5;16:31:57;-68;1.49312430754921;Near
1.5;16:31:58;-68;1.4900518516393;Near
1.5;16:31:59;-68;1.48743626615831;Near
1.5;16:32:00;-67;1.46230376633862;Near
1.5;16:32:01;-67;1.44107165220367;Near
1.5;16:32:02;-67;1.42296936881985;Near
1.5;16:32:03;-68;1.42771719975984;Near
1.5;16:32:04;-68;1.4319419090621;Near
1.5;16:32:05;-67;1.41542347717518;Near
1.5;16:32:06;-71;1.46927628198064;Near
1.5;16:32:07;-71;1.52060715904242;Near
1.5;16:32:08;-71;1.56924118417025;Near
1.5;16:32:09;-70;1.59795694686748;Near
1.5;16:32:10;-68;1.58344194504768;Near
