proximityRef;timestamp;rssi;accuracy;proximity
30.0;16:52:13;-88;20.4465502756632;Far
30.0;16:52:14;-88;20.3093616615349;Far
30.0;16:52:15;-88;20.1850434765526;Far
30.0;16:52:16;-88;20.0758789547003;Far
30.0;16:52:17;-90;20.3699819449481;Far
30.0;16:52:18;-89;20.4545727130481;Far
30.0;16:52:19;-89;20.5288398801862;Far
30.0;16:52:20;-88;20.4146290663322;Far
30.0;16:52:21;-90;20.6340256213561;Far
30.0;16:52:22;-90;20.8334771620874;Far
30.0;16:52:23;-90;21.0156398301909;Far
30.0;16:52:24;-88;20.8893652511546;Far
30.0;16:52:25;-88;20.7760992902151;Far
30.0;16:52:26;-90;20.9395450004585;Far
30.0;16:52:27;-90;21.0915127494113;Far
30.0;16:52:28;-89;21.1128842849642;Far
30.0;16:52:29;-89;21.1326491183107;Far
30.0;16:52:30;-91;21.3658267195907;Far
30.0;16:52:31;-90;21.486659690604;Far
30.0;16:52:32;-91;21.6993519840509;Far
30.0;16:52:33;-90;21.8035122163373;Far
30.0;16:52:34;-90;21.9019211878088;Far
30.0;16:52:35;-91;22.0907757895866;Far
30.0;16:52:36;-86;21.660394431288;Far
30.0;16:52:37;-87;21.41364873051;Far
30.0;16:52:38;-87;21.1856997815694;Far
30.0;16:52:39;-86;20.8410399596326;Far
30.0;16:52:40;-86;20.5243941903084;Far
30.0;16:52:41;-86;20.2323985784076;Far
30.0;16:52:42;-86;19.9621804084409;Far
30.0;16:52:43;-85;19.5844332977159;Far
30.0;16:52:44;-85;19.2370078516172;Far
30.0;16:52:45;-88;19.2271808715467;Far
30.0;16:52:46;-86;19.024774904118;Far
30.0;16:52:47;-85;18.7232173648935;Far
30.0;16:52:48;-86;18.5503849041576;Far
30.0;16:52:49;-86;18.3874787760124;Far
30.0;16:52:50;-86;18.2336529078494;Far
30.0;16:52:51;-86;18.0881990216338;Far
30.0;16:52:52;-85;17.8519703696856;Far
30.0;16:52:53;-86;17.7258593947523;Far
30.0;16:52:54;-85;17.512071803611;Far
30.0;16:52:55;-86;17.4022860489848;Far
30.0;16:52:56;-87;17.3778068445761;Far
30.0;16:52:57;-89;17.4877141121578;Far
30.0;16:52:58;-91;17.7008165180545;Far
30.0;16:52:59;-89;17.8034761490356;Far
30.0;16:53:00;-90;17.9614426232487;Far
30.0;16:53:01;-90;18.1165614666722;Far
30.0;16:53:02;-85;17.8857652660116;Far
30.0;16:53:03;-85;17.6684336511225;Far
30.0;16:53:04;-86;17.5543255140182;Far
30.0;16:53:05;-87;17.5251014126988;Far
30.0;16:53:06;-87;17.4969382532138;Far
30.0;16:53:07;-87;17.4698010371472;Far
30.0;16:53:08;-87;17.443630058942;Far
30.0;16:53:09;-87;17.4183906248087;Far
30.0;16:53:10;-87;17.3940485869622;Far
30.0;16:53:11;-86;17.2928133955207;Far
30.0;16:53:12;-86;17.1959600389567;Far
