rssi;accuracy;proximity
-57;0,44;2
-58;0,49;2
-58;0,43;2
-58;0,43;2
-58;0,43;2
-58;0,45;2
-58;0,44;2
-58;0,43;2
-58;0,43;2
-58;0,45;2
-58;0,44;2
-58;0,46;2
-58;0,45;2
-58;0,44;2
-58;0,43;2
-59;0,44;2
-59;0,43;2
-59;0,44;2
-59;0,44;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,46;2
-59;0,43;2
-59;0,44;2
-59;0,44;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,46;2
-59;0,46;2
-59;0,46;2
-59;0,46;2
-59;0,45;2
-59;0,45;2
-59;0,48;2
-59;0,48;2
-59;0,47;2
-59;0,47;2
-59;0,47;2
-59;0,47;2
-59;0,47;2
-59;0,48;2
-59;0,47;2
-59;0,47;2
-59;0,47;2
-59;0,44;2
-59;0,44;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,45;2
-59;0,46;2
-59;0,46;2
-59;0,55;2
-59;0,53;2
-60;0,46;2
-60;0,47;2
-60;0,48;2
-60;0,48;2
-60;0,79;2
-60;0,74;2
-60;0,70;2
-60;0,67;2
-60;0,65;2
-60;0,63;2
-60;0,60;2
-60;0,59;2
-60;0,58;2
-60;0,57;2
-60;0,56;2
-60;0,56;2
-60;0,55;2
-60;0,55;2
-60;0,54;2
-60;0,54;2
-60;0,54;2
-60;0,54;2
-60;0,54;2
-60;0,53;2
-60;0,53;2
-61;0,74;2
-61;0,87;2
-61;0,85;2
-61;0,62;2
-61;0,62;2
-61;0,62;2
-61;0,61;2
-62;0,83;2
-62;0,84;2
-63;0,85;2
-63;0,93;2
-64;0,93;2
-64;0,77;2
-64;0,80;2
-64;0,81;2
-64;0,83;2
-64;0,84;2
-64;0,84;2
-64;0,85;2
-64;0,85;2
-64;0,86;2
-64;0,86;2
-64;0,92;2
-64;0,57;2
-65;0,87;2
-65;0,88;2
-65;0,90;2
-65;0,91;2
-65;0,92;2
-65;0,93;2
-65;0,93;2
-65;0,96;2
-65;0,88;2
-65;0,90;2
-65;0,91;2
-65;1,12;2
-65;1,55;2
-65;1,47;2
-66;0,95;2
-66;0,87;2
-66;1,18;2
-66;1,17;2
-66;1,16;2
-66;1,16;2
-66;1,43;2
-67;1,15;2
-67;1,26;2
-67;1,65;2
-67;1,44;2
-67;1,46;2
-67;1,44;2
-67;1,42;2
-67;1,42;2
-68;1,19;2
-68;1,22;2
-68;1,25;2
-68;1,28;2
-68;1,30;2
-68;1,32;2
-68;1,34;2
-68;1,35;2
-68;1,36;2
-68;1,37;2
-68;1,80;2
-68;1,76;2
-68;1,73;2
-68;1,69;2
-68;1,43;2
-68;1,44;2
-68;1,44;2
-68;1,50;2
-68;1,50;2
-68;1,49;2
-68;1,49;2
-68;1,49;2
-68;1,43;2
-68;1,43;2
-68;1,58;2
-68;1,77;2
-68;1,68;2
-68;1,62;2
-68;1,90;2
-68;1,84;2
-68;1,80;2
-69;1,50;2
-69;1,52;2
-69;1,85;2
-69;1,72;2
-69;1,45;2
-69;1,63;2
-69;1,64;2
-69;1,65;2
-69;1,65;2
-69;1,70;2
-69;1,69;2
-69;1,79;2
-69;1,77;2
-69;1,76;2
-69;1,75;2
-70;1,60;2
-70;1,70;2
