proximityRef;timestamp;rssi;accuracy;proximity
1.5;18:04:54;-73;2.28856361899222;Near
1.5;18:04:55;-76;2.54065629891978;Near
1.5;18:04:56;-76;2.7492887769322;Near
1.5;18:04:57;-75;2.86857078631799;Far
1.5;18:04:58;-75;2.96197699820716;Far
1.5;18:04:59;-76;3.08007780307762;Far
1.5;18:05:00;-76;3.17916884955465;Far
1.5;18:05:01;-76;3.26369237769104;Far
1.5;18:05:02;-76;3.33670075056181;Far
1.5;18:05:03;-75;3.36133131010842;Far
1.5;18:05:04;-74;3.34088923264802;Far
1.5;18:05:05;-74;3.32344587033929;Far
1.5;18:05:06;-75;3.34595279612265;Far
1.5;18:05:07;-75;3.36601724156467;Far
1.5;18:05:08;-75;3.38402038698635;Far
1.5;18:05:09;-75;3.40026673869836;Far
1.5;18:05:10;-74;3.37991150472312;Far
1.5;18:05:11;-74;3.36175040963878;Far
1.5;18:05:12;-75;3.3786063241239;Far
1.5;18:05:13;-71;3.23845824888312;Far
1.5;18:05:14;-71;3.12008179171205;Far
1.5;18:05:15;-77;3.19866753449537;Far
1.5;18:05:16;-77;3.27443068093945;Far
1.5;18:05:17;-77;3.34727931042423;Far
1.5;18:05:18;-76;3.39213225677461;Far
1.5;18:05:19;-77;3.45990754800705;Far
1.5;18:05:20;-76;3.4985239653203;Far
1.5;18:05:21;-75;3.50518509542835;Far
1.5;18:05:22;-75;3.51135153004422;Far
1.5;18:05:23;-76;3.5465553894527;Far
1.5;18:05:24;-76;3.57973525088012;Far
1.5;18:05:25;-76;3.61096844378681;Far
1.5;18:05:26;-77;3.66769256818284;Far
1.5;18:05:27;-77;3.72177696192901;Far
1.5;18:05:28;-77;3.77327252023245;Far
1.5;18:05:29;-78;3.84826991568369;Far
1.5;18:05:30;-72;3.70420042726663;Far
1.5;18:05:31;-72;3.57962111242341;Far
1.5;18:05:32;-72;3.47088379248723;Far
1.5;18:05:33;-72;3.37518878797966;Far
1.5;18:05:34;-70;3.20483115438334;Far
1.5;18:05:35;-69;3.01462225249546;Far
1.5;18:05:36;-71;2.93356871210864;Far
1.5;18:05:37;-70;2.82542850778389;Near
1.5;18:05:38;-70;2.73078183287646;Near
1.5;18:05:39;-71;2.67944674616289;Near
1.5;18:05:40;-70;2.60151812546984;Near
1.5;18:05:41;-70;2.53231661225657;Near
1.5;18:05:42;-70;2.47067230606899;Near
1.5;18:05:43;-70;2.41550920863409;Near
1.5;18:05:44;-71;2.39339406261021;Near
1.5;18:05:45;-70;2.34591882722374;Near
1.5;18:05:46;-70;2.30326265558651;Near
1.5;18:05:47;-70;2.26490516944614;Near
1.5;18:05:48;-71;2.25568935811703;Near
1.5;18:05:49;-78;2.36450990108217;Near
1.5;18:05:50;-78;2.47473044209498;Near
1.5;18:05:51;-79;2.59783978599028;Near
1.5;18:05:52;-79;2.72186055909989;Near
1.5;18:05:53;-78;2.83136252135866;Far
