proximityRef;timestamp;proximity;rssi;accuracy
0.5;14:57:18;2;-61;0.614073248413651
0.5;14:57:19;2;-60;0.579216376585215
0.5;14:57:20;2;-60;0.561393509125551
0.5;14:57:21;2;-59;0.530047889982325
0.5;14:57:22;2;-59;0.512134896590646
0.5;14:57:23;2;-59;0.500793901361958
0.5;14:57:24;2;-59;0.492912693436597
0.5;14:57:25;2;-59;0.48710998070757
0.5;14:57:26;2;-60;0.494140563272745
0.5;14:57:27;2;-59;0.48324050754543
0.5;14:57:28;2;-59;0.475098142302212
0.5;14:57:29;2;-59;0.470223880815249
0.5;14:57:30;2;-60;0.494275071313137
0.5;14:57:31;2;-61;0.536158723436307
0.5;14:57:32;2;-60;0.53236151209744
0.5;14:57:33;2;-59;0.500456542024748
0.5;14:57:34;2;-59;0.485576565139006
0.5;14:57:35;2;-59;0.477985365517314
0.5;14:57:36;2;-59;0.473764841335379
0.5;14:57:37;2;-59;0.471243378047667
0.5;14:57:38;2;-59;0.469606186122431
0.5;14:57:39;2;-59;0.468452152825683
0.5;14:57:40;2;-59;0.466867163455721
0.5;14:57:41;2;-59;0.465706597142627
0.5;14:57:42;2;-59;0.465016028186531
0.5;14:57:43;2;-60;0.491262341254289
0.5;14:57:44;2;-59;0.478775060382272
0.5;14:57:45;2;-60;0.499451437001293
0.5;14:57:46;2;-76;0.818376212729049
0.5;14:57:47;2;-76;1.15509685401101
0.5;14:57:48;3;-75;1.4452007686652
0.5;14:57:49;3;-75;1.69204595567865
0.5;14:57:50;3;-75;1.89814030988144
0.5;14:57:51;3;-74;2.04224861608784
0.5;14:57:52;3;-74;2.16185871724411
0.5;14:57:53;3;-68;2.02662482603715
0.5;14:57:54;3;-59;1.40890009191194
0.5;14:57:55;3;-60;1.1657080968108
0.5;14:57:56;3;-60;1.0150166085092
0.5;14:57:57;3;-59;0.885937788442227
0.5;14:57:58;2;-60;0.816711291157033
0.5;14:57:59;2;-59;0.744588387643734
0.5;14:58:00;2;-59;0.689962977926672
0.5;14:58:01;2;-59;0.647313687649113
0.5;14:58:02;2;-59;0.613480246620857
0.5;14:58:03;2;-59;0.586342073652006
0.5;14:58:04;2;-60;0.576806919753797
0.5;14:58:05;2;-63;0.599985527337145
0.5;14:58:06;2;-62;0.61113033976381
0.5;14:58:07;2;-63;0.631593981316111
0.5;14:58:08;2;-63;0.64999007973872
0.5;14:58:09;2;-62;0.654589322243119
0.5;14:58:10;2;-62;0.658520141118372
0.5;14:58:11;2;-63;0.673803806848051
0.5;14:58:12;2;-62;0.675969415076728
0.5;14:58:13;2;-63;0.7078719259418
0.5;14:58:14;2;-60;0.627257906748814
0.5;14:58:15;2;-62;0.64756332248473
0.5;14:58:16;2;-60;0.598658018708121
0.5;14:58:17;2;-60;0.574027255269162
1.0;14:59:12;2;-63;0.799222994381135
1.0;14:59:13;2;-63;0.789861645467324
1.0;14:59:14;2;-63;0.784578810310065
1.0;14:59:15;2;-66;0.863126573473657
1.0;14:59:16;2;-66;0.919114836932316
1.0;14:59:17;2;-66;0.959133737357116
1.0;14:59:18;2;-66;0.9886586772399
1.0;14:59:19;2;-66;1.01136561444395
1.0;14:59:20;2;-66;1.02945975787105
1.0;14:59:21;2;-66;1.04422215084306
1.0;14:59:22;2;-66;1.0564924941712
1.0;14:59:23;2;-67;1.1038894049571
1.0;14:59:24;2;-66;1.11291276323051
1.0;14:59:25;2;-63;0.981700081968898
1.0;14:59:26;2;-63;0.902853554054726
1.0;14:59:27;2;-63;0.859020750128932
1.0;14:59:28;2;-63;0.833774182835381
1.0;14:59:29;2;-62;0.790533232096767
1.0;14:59:30;2;-63;0.785289737624431
1.0;14:59:31;2;-63;0.781385372139808
1.0;14:59:32;2;-63;0.778770631951806
1.0;14:59:33;2;-62;0.739517111224795
1.0;14:59:34;2;-63;0.750952310853753
1.0;14:59:35;2;-62;0.723948016486896
1.0;14:59:36;2;-62;0.707232377320707
1.0;14:59:37;2;-63;0.731594607435801
1.0;14:59:38;2;-63;0.747419042043387
1.0;14:59:39;2;-63;0.756461502328283
1.0;14:59:40;2;-62;0.73217486691602
1.0;14:59:41;2;-62;0.718152755997018
1.0;14:59:42;2;-62;0.709422756554651
1.0;14:59:43;2;-62;0.703573361674456
1.0;14:59:44;2;-62;0.699353744002466
1.0;14:59:45;2;-63;0.711274210983713
1.0;14:59:46;2;-66;0.758117294274691
1.0;14:59:47;2;-66;0.800325544483575
1.0;14:59:48;2;-67;0.849687428079695
1.0;14:59:49;2;-67;0.89491712572162
1.0;14:59:50;2;-68;0.947940766733588
1.0;14:59:51;2;-68;0.997117463463992
1.0;14:59:52;2;-68;1.07981469353115
1.0;14:59:53;2;-68;1.16833413648655
1.0;14:59:54;2;-67;1.20314250494749
1.0;14:59:55;2;-67;1.22922999600263
1.0;14:59:56;2;-68;1.28869829373541
1.0;14:59:57;2;-68;1.32929075902369
1.0;14:59:58;2;-68;1.35727674709719
1.0;14:59:59;2;-69;1.40731987746953
1.0;15:00:00;2;-68;1.41718792710274
1.0;15:00:01;2;-68;1.4247291628304
1.0;15:00:02;2;-68;1.43069924409947
1.0;15:00:03;2;-67;1.41037470938559
1.0;15:00:04;2;-67;1.39401629794508
1.0;15:00:05;2;-68;1.40268082376594
1.0;15:00:06;2;-68;1.41013951695082
1.0;15:00:07;2;-69;1.43597032703119
1.0;15:00:08;2;-68;1.43952502125897
1.0;15:00:09;2;-69;1.46194663930993
1.0;15:00:10;2;-69;1.48213900558418
1.0;15:00:11;2;-68;1.48056656755709
1.5;15:01:21;2;-72;2.52399738279542
1.5;15:01:22;2;-71;2.44843526393399
1.5;15:01:23;2;-71;2.39487478173671
1.5;15:01:24;2;-73;2.44531403684223
1.5;15:01:25;2;-69;2.30125797171907
1.5;15:01:26;2;-69;2.15901828402006
1.5;15:01:27;2;-68;1.97045103448827
1.5;15:01:28;2;-69;1.89289162386712
1.5;15:01:29;2;-69;1.83322934698797
1.5;15:01:30;2;-70;1.84859288076318
1.5;15:01:31;2;-71;1.91872025158734
1.5;15:01:32;2;-70;1.91272536132583
1.5;15:01:33;2;-70;1.90829102256577
1.5;15:01:34;2;-68;1.77027322532999
1.5;15:01:35;2;-69;1.74213700641171
1.5;15:01:36;2;-69;1.72172360536969
1.5;15:01:37;2;-69;1.70813343158498
1.5;15:01:38;2;-69;1.69908495050347
