measurement;stepRef;distanceRef;steps;distance;speed;stepError;distanceError
0;39;30;37;27.27;1.2;2.0;2.7
1;38;30;38;28.32;1.15;0.0;1.7
2;43;30;38;27.95;1.12;5.0;2.1
3;42;30;38;28.25;1.07;4.0;1.8
4;45;30;31;22.44;0.9;14.0;7.6
5;35;30;33;24.94;1.55;2.0;5.1
6;38;30;34;24.91;1.3;4.0;5.1
7;37;30;35;27.12;1.39;2.0;2.9
8;39;30;35;26.51;1.27;4.0;3.5
9;38;30;36;28.3;1.31;2.0;1.7
10;25;20;23;18.53;1.301;2.0;1.5
11;26;20;25;18.68;1.103;1.0;1.3
12;25;20;22;17.3;1.29;3.0;2.7
13;24;20;22;17.31;1.316;2.0;2.7
14;25;20;23;18.13;1.31;2.0;1.9
15;25;20;21;16.1;1.55;4.0;3.9
16;25;20;18;13.69;1.379;7.0;6.3
17;26;20;22;16.66;1.137;4.0;3.3
18;28;20;34;26.24;1.129;-6.0;-6.2
19;26;20;26;20.24;1.164;0.0;-0.2
20;13;10;7;5.53;2.006;6.0;4.5
21;14;10;16;12.48;1.973;-2.0;-2.5
22;14;10;12;9.48;2.02;2.0;0.5
23;13;10;10;8.04;2.158;3.0;2.0
24;13;10;9;7.2;2.202;4.0;2.8
25;13;10;11;8.47;2.007;2.0;1.5
26;13;10;9;7.11;2.051;4.0;2.9
27;13;10;12;9.31;1.824;1.0;0.7
28;13;10;18;14;2.034;-5.0;-4.0
29;12;10;14;11.06;1.98;-2.0;-1.1
