measurement;stepRef;distanceRef;steps;distance;speed;stepError;distanceError
0;37;30;24;17.44;0.97;13.00;12.56
1;38;30;39;27.35;0.731;-1.00;2.65
2;38;30;38;28.54;0.977;0.00;1.46
3;38;30;39;27.99;1.027;-1.00;2.01
4;38;30;32;23.68;0.983;6.00;6.32
5;32;30;34;29.53;1.17;-2.00;0.47
6;34;30;34;28.28;1.12;0.00;1.72
7;34;30;44;35.89;1.085;-10.00;-5.89
8;35;30;52;39.18;1.2;-17.00;-9.18
9;35;30;22;17.9;1.06;13.00;12.10
10;24;20;6;5.16;0.8525;18.00;14.84
11;24;20;25;17.58;0.854;-1.00;2.42
12;24;20;41;28.24;0.7341;-17.00;-8.24
13;24;20;37;26.62;0.78;-13.00;-6.62
14;24;20;40;27.52;0.901;-16.00;-7.52
15;25;20;8;5.22;0.895;17.00;14.78
16;25;20;22;16.6;0.9;3.00;3.40
17;28;20;8;4.92;0.782;20.00;15.08
18;28;20;33;21.1;0.762;-5.00;-1.10
19;28;20;26;17.06;0.767;2.00;2.94
20;13;10;9;6.04;1.268;4.00;3.96
21;13;10;14;9.48;1.483;-1.00;0.52
22;13;10;7;4.41;1.379;6.00;5.59
23;13;10;16;10.6;1.427;-3.00;-0.60
24;13;10;18;12.16;1.472;-5.00;-2.16
25;13;10;6;3.84;1.181;7.00;6.16
26;13;10;14;9.31;1.178;-1.00;0.69
27;14;10;18;12.16;1.127;-4.00;-2.16
28;13;10;17;11.36;1.217;-4.00;-1.36
29;13;10;12;7.95;1.289;1.00;2.05
